"項目","2001_平成13年度","2002_平成14年度","2003_平成15年度","2004_平成16年度","2005_平成17年度","2006_平成18年度","2007_平成19年度","2008_平成20年度","2009_平成21年度","2010_平成22年度","2011_平成23年度","2012_平成24年度","2012_平成25年度"
"1.民間最終消費支出_(1)家計最終消費支出_家計最終消費支出(除く持ち家の帰属家賃)","1704304.0","1668516.0","1656653.0","1788374.0","1822259.0","1846347.0","1887783.0","1884777.0","1775221.0","1809544.0","1877726.0","1792206.0","1928627.0"
"1.民間最終消費支出_(1)家計最終消費支出_持ち家の帰属家賃","342033.0","347131.0","352245.0","365435.0","377834.0","391174.0","405344.0","418908.0","427693.0","435171.0","443543.0","451913.0","461377.0"
"","","","","","","","","","","","","",""
"1.民間最終消費支出_(2)対家計民間非営利団体最終消費支出","44673.0","41931.0","44279.0","41869.0","58034.0","59357.0","55032.0","52823.0","55131.0","58689.0","65747.0","72709.0","74105.0"
"","","","","","","","","","","","","",""
"2.政府最終消費支出_(2)対家計民間非営利団体最終消費支出","772227.0","790075.0","791934.0","805981.0","801970.0","799683.0","809581.0","815677.0","819490.0","829880.0","847523.0","847096.0","844468.0"
"","","","","","","","","","","","","",""
"2.政府最終消費支出_(1)国出先機関","64839.0","69207.0","72134.0","68478.0","66215.0","67280.0","67764.0","67296.0","66696.0","63217.0","62356.0","59845.0","66271.0"
"2.政府最終消費支出_(2)和歌山県","229482.0","231158.0","220767.0","226600.0","221855.0","219283.0","219428.0","215978.0","208637.0","209421.0","210063.0","208182.0","199428.0"
"2.政府最終消費支出_(3)県内市町村","198150.0","201908.0","201098.0","202226.0","197399.0","191318.0","189548.0","188449.0","189789.0","187376.0","192274.0","186686.0","181715.0"
"2.政府最終消費支出_(4)社会保障基金","279756.0","287802.0","297935.0","308677.0","316501.0","321802.0","332841.0","343954.0","354368.0","369866.0","382830.0","392383.0","397054.0"
"","","","","","","","","","","","","",""
"2.政府最終消費支出_（再掲）","","","","","","","","","","","","",""
"2.政府最終消費支出_家計現実最終消費","2529914.0","2508149.0","2509632.0","2671322.0","2741084.0","2788313.0","2852573.0","2872204.0","2775199.0","2839487.0","2935709.0","2864726.0","3008826.0"
"2.政府最終消費支出_政府現実最終消費","333323.0","339504.0","335479.0","330337.0","319013.0","308248.0","305168.0","299981.0","302336.0","293797.0","298830.0","299198.0","299751.0"
"","","","","","","","","","","","","",""
"3.総資本形成","840679.0","841227.0","824931.0","808889.0","789188.0","821984.0","897726.0","820564.0","762894.0","768923.0","858101.0","988969.0","980667.0"
"","","","","","","","","","","","","",""
"3.総資本形成_(1)総固定資本形成","830056.0","878780.0","854964.0","851529.0","812177.0","830337.0","893059.0","777500.0","796417.0","783913.0","820077.0","944466.0","1001006.0"
"","","","","","","","","","","","","",""
"3.総資本形成_(1)総固定資本形成_a．民間","483878.0","536048.0","514227.0","548244.0","533136.0","601842.0","669279.0","598913.0","535866.0","548236.0","574402.0","660450.0","632574.0"
"","","","","","","","","","","","","",""
"3.総資本形成_(1)総固定資本形成_(a)住宅","121667.0","114055.0","114021.0","117630.0","111355.0","109691.0","99714.0","97450.0","79763.0","81300.0","83030.0","87849.0","98713.0"
"3.総資本形成_(1)総固定資本形成_(b)企業設備","362211.0","421993.0","400206.0","430614.0","421781.0","492151.0","569565.0","501463.0","456103.0","466936.0","491372.0","572601.0","533861.0"
"","","","","","","","","","","","","",""
"3.総資本形成_(1)総固定資本形成_b．公的","346178.0","342732.0","340737.0","303285.0","279041.0","228495.0","223780.0","178587.0","260551.0","235677.0","245675.0","284016.0","368432.0"
"","","","","","","","","","","","","",""
"3.総資本形成_(1)総固定資本形成_(a)住宅","7557.0","10290.0","6612.0","5411.0","4214.0","4568.0","3100.0","2936.0","4898.0","4174.0","4521.0","1921.0","2228.0"
"3.総資本形成_(1)総固定資本形成_(b)企業設備","55091.0","58607.0","77994.0","75961.0","64279.0","35113.0","35694.0","15480.0","70259.0","38861.0","39033.0","49591.0","46034.0"
"3.総資本形成_(1)総固定資本形成_(c)一般政府","283530.0","273835.0","256131.0","221913.0","210548.0","188814.0","184986.0","160171.0","185394.0","192642.0","202121.0","232504.0","320170.0"
"","","","","","","","","","","","","",""
"3.総資本形成_(2)在庫品増加","10623.0","-37553.0","-30033.0","-42640.0","-22989.0","-8353.0","4667.0","43064.0","-33523.0","-14990.0","38024.0","44503.0","-20339.0"
"","","","","","","","","","","","","",""
"3.総資本形成_(2)在庫品増加_a．民間企業","12742.0","-37356.0","17506.0","-41154.0","4188.0","-7759.0","5867.0","43990.0","-33379.0","-14881.0","38288.0","44832.0","-20156.0"
"3.総資本形成_(2)在庫品増加_b．公的","-2119.0","-197.0","-47539.0","-1486.0","-27177.0","-594.0","-1200.0","-926.0","-144.0","-109.0","-264.0","-329.0","-183.0"
"3.総資本形成_(2)在庫品増加_（公的企業・一般政府）","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"4.財貨･ｻｰﾋﾞｽの移出入(純)・統計上の不突合_(2)在庫品増加","-63706.0","-88222.0","-160407.0","-331638.0","-217750.0","-237280.0","-464764.0","-584870.0","-454757.0","-237036.0","-277683.0","-312232.0","-422732.0"
"","","","","","","","","","","","","",""
"4.財貨･ｻｰﾋﾞｽの移出入(純)・統計上の不突合_(1)財貨・サ－ビスの移出入(純)","-62880.0","-51578.0","-158716.0","-138884.0","-102507.0","-68956.0","-105930.0","-240495.0","-314342.0","-157560.0","-294939.0","-379333.0","-476529.0"
"4.財貨･ｻｰﾋﾞｽの移出入(純)・統計上の不突合_(2)統計上の不突合","-826.0","-36644.0","-1691.0","-192754.0","-115243.0","-168324.0","-358834.0","-344375.0","-140415.0","-79476.0","17256.0","67101.0","53797.0"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"5.(1+2+3+4)県内総生産(支出側､市場価格)_(2)統計上の不突合","3640210.0","3600658.0","3509636.0","3478910.0","3631535.0","3681266.0","3590702.0","3407880.0","3385671.0","3665170.0","3814956.0","3840661.0","3866512.0"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"6.県外からの所得(純)","119718.0","104728.0","95961.0","121576.0","120733.0","113584.0","148979.0","71710.0","96284.0","125223.0","139372.0","133784.0","153629.0"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"7.(5+6)県民総所得(市場価格)","3759928.0","3705386.0","3605597.0","3600486.0","3752268.0","3794850.0","3739681.0","3479590.0","3481955.0","3790393.0","3954328.0","3974445.0","4020141.0"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"(1+2+3)(参考)県内需要(注)","3703915.0","3688880.0","3670043.0","3810548.0","3849284.0","3918545.0","4055466.0","3992749.0","3840428.0","3902206.0","4092640.0","4152893.0","4289244.0"
