"項目","2001_平成13年度","2002_平成14年度","2003_平成15年度","2004_平成16年度","2005_平成17年度","2006_平成18年度","2007_平成19年度","2008_平成20年度","2009_平成21年度","2010_平成22年度","2011_平成23年度","2012_平成24年度","2012_平成25年度"
"3.総資本形成_(1)総固定資本形成","852696.0","887009.0","854679.0","850020.0","813834.0","836280.0","903715.0","794313.0","790556.0","765764.0","799965.0","922471.0","994900.0"
"","","","","","","","","","","","","",""
"3.総資本形成_(1)総固定資本形成_a．民間","506089.0","549529.0","518975.0","549378.0","533470.0","603381.0","671189.0","603143.0","521839.0","522741.0","544552.0","628069.0","606169.0"
"","","","","","","","","","","","","",""
"3.総資本形成_(1)総固定資本形成_(a)住宅","121059.0","112344.0","112766.0","117042.0","111689.0","112214.0","103902.0","103686.0","82156.0","83821.0","86102.0","90397.0","104340.0"
"3.総資本形成_(1)総固定資本形成_(b)企業設備","385030.0","437185.0","406209.0","432336.0","421781.0","491167.0","567287.0","499457.0","439683.0","438920.0","458450.0","537672.0","501829.0"
"","","","","","","","","","","","","",""
"3.総資本形成_(1)総固定資本形成_b．公的","346607.0","337480.0","335704.0","300642.0","280364.0","232899.0","232526.0","191170.0","268717.0","243023.0","255413.0","294402.0","388731.0"
"","","","","","","","","","","","","",""
"3.総資本形成_(1)総固定資本形成_(a)住宅","7474.0","10084.0","6513.0","5373.0","4227.0","4669.0","3227.0","3136.0","5055.0","4312.0","4702.0","1981.0","2348.0"
"3.総資本形成_(1)総固定資本形成_(b)企業設備","55036.0","57669.0","76902.0","75353.0","64536.0","35640.0","36729.0","16331.0","71594.0","39327.0","39697.0","50384.0","47323.0"
"3.総資本形成_(1)総固定資本形成_(c)一般政府","284097.0","269727.0","252289.0","219916.0","211601.0","192590.0","192570.0","171703.0","192068.0","199384.0","211014.0","242037.0","339060.0"
"","","","","","","","","","","","","",""
"3.総資本形成_(2)在庫品増加","5513.0","-30651.0","-21914.0","-36312.0","-26355.0","-7278.0","-110.0","51626.0","-33715.0","-16988.0","48265.0","64613.0","-23098.0"
"","","","","","","","","","","","","",""
"3.総資本形成_(2)在庫品増加_a．民間企業","7164.0","-30490.0","11886.0","-35053.0","2561.0","-6657.0","1525.0","52360.0","-33562.0","-16852.0","48635.0","65095.0","-22823.0"
"3.総資本形成_(2)在庫品増加_b．公的","-1651.0","-161.0","-33800.0","-1259.0","-28916.0","-621.0","-1635.0","-734.0","-153.0","-136.0","-370.0","-482.0","-275.0"
"3.総資本形成_(2)在庫品増加_（公的企業・一般政府）","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"4.財貨･ｻｰﾋﾞｽの移出入(純)・統計上の不突合_(2)在庫品増加","-187693.0","-175825.0","-144343.0","-261147.0","-176853.0","-208543.0","-414053.0","-481679.0","-387730.0","-151433.0","-247737.0","-347414.0","-409358.0"
"","","","","","","","","","","","","",""
"4.財貨･ｻｰﾋﾞｽの移出入(純)・統計上の不突合_(1)財貨・サ－ビスの移出入(純)","-186869.0","-139369.0","-142625.0","-63249.0","-60344.0","-39266.0","-52982.0","-128066.0","-249669.0","-75193.0","-263824.0","-409635.0","-459214.0"
"4.財貨･ｻｰﾋﾞｽの移出入(純)・統計上の不突合_(2)統計上の不突合","-824.0","-36456.0","-1718.0","-197898.0","-116510.0","-169278.0","-361071.0","-353613.0","-138061.0","-76241.0","16087.0","62221.0","49856.0"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"5.(1+2+3+4)県内総生産(支出側､市場価格)_(2)統計上の不突合","3632046.0","3582190.0","3563891.0","3571747.0","3671467.0","3702127.0","3613081.0","3499294.0","3328898.0","3515986.0","3556490.0","3561319.0","3583311.0"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"6.県外からの所得(純)","119450.0","104191.0","97444.0","124821.0","122061.0","114228.0","149908.0","73634.0","94669.0","120126.0","129929.0","124053.0","142377.0"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"7.(5+6)県民総所得(市場価格)","3751496.0","3686381.0","3661335.0","3696568.0","3793528.0","3816355.0","3762989.0","3572928.0","3423567.0","3636112.0","3686419.0","3685372.0","3725688.0"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"(1+2+3)(参考)県内需要(注)","3819739.0","3758015.0","3708234.0","3832894.0","3848320.0","3910670.0","4027134.0","3980973.0","3716628.0","3667419.0","3804227.0","3908733.0","3992669.0"
